"week","ind","type","KLRG1","CD25","CCR8","Ki67","wkty","Dim.1","Dim.2","Dim.3","Dim.4"
"1",5,45,"cur",436,526,657,949,"cur_5",451.152069021576,-157.005178955926,283.301502804426,192.162782093722
"2",5,56,"cur",423,470,455,829,"cur_5",313.171183311042,-107.601845317675,151.453085331012,52.0000887201985
"3",5,56,"cur",454,329,522,894,"cur_5",400.606961395198,-132.817524951757,47.1205046704761,153.930784902088
"4",5,56,"cur",628,447,397,625,"cur_5",225.937116341969,166.685738033489,82.9809969590501,50.5467156114107
"5",5,56,"cur",416,571,544,870,"cur_5",354.208336934994,-125.196175931909,280.368276918851,87.2032836114686
"6",5,56,"cur",157,494,509,866,"cur_5",226.155623556068,-357.836389066982,219.748485061818,79.6352809705655
"7",5,56,"cur",301,271,460,864,"cur_5",295.367534460511,-256.52186097521,-16.9702420509108,121.817291598633
"8",5,56,"cur",674,508,460,665,"cur_5",289.126815847602,192.422386739692,160.290086926491,78.3674165042273
"9",5,56,"cur",464,605,503,864,"cur_5",364.070397236515,-73.4617361256379,291.165471629804,39.3837469040279
"10",5,57,"cur",0,522,530,261,"cur_5",-370.53216625994,-213.752923675377,249.329157140189,198.914869855777
"11",5,45,"ina",542,404,431,259,"ina_5",-124.875966910018,252.656530618844,53.2867195436082,164.627622560185
"12",5,45,"ina",147,443,491,654,"ina_5",37.3351735606947,-274.191047854197,160.422099087233,122.057851427057
"13",5,45,"ina",478,401,546,823,"ina_5",350.839924846983,-71.2563161352276,118.071297751891,162.674045356658
"14",5,45,"ina",251,355,579,864,"ina_5",285.774247576907,-296.902685478129,110.59970222221,197.44973951212
"15",5,45,"ina",604,470,528,549,"ina_5",167.378238528515,175.534637727883,154.513947883965,174.714310963021
"16",5,45,"ina",174,311,559,770,"ina_5",166.804253954353,-325.350261187124,66.6619662304084,211.849441232825
"17",5,45,"ina",0,413,499,925,"ina_5",204.981587350685,-532.332006427622,157.725330388854,86.4958929779421
"18",5,45,"ina",233,429,565,544,"ina_5",-5.43425689104494,-154.555067473902,164.915779566862,216.956823249866
"19",5,45,"ina",198,597,449,828,"ina_5",199.010806892047,-287.382169532393,286.172265448869,-5.34261778635608
"20",5,45,"ina",63,488,643,951,"ina_5",275.651724962506,-488.504999221726,277.165241346203,185.617196237137
"21",5,45,"ina",141,508,470,873,"ina_5",218.139498337338,-370.835091242558,219.213384112625,37.3447483988129
"22",5,45,"ina",389,388,548,399,"ina_5",-57.8076674281565,44.7224224714791,102.042300189467,247.344871241803
