"","V1","V2"
"1",-1.70279769521818,-14.264931349389
"2",-1.7096945900537,-14.2188096103631
"3",-1.76311919020623,-13.8555887178675
"4",-1.77370715077557,-13.7828315931807
"5",-1.85912834726058,-13.1981451347756
"6",-1.86763080430263,-13.1409851401393
"7",-1.87110179862663,-13.11774662179
"8",-1.87170044631193,-13.1137446245069
"9",-1.91188822929691,-12.8500009036602
"10",-1.92113879631355,-12.7909660767174
"11",-1.92221794564258,-12.7841281614512
"12",-1.92283449494708,-12.7802262338411
"13",-1.92359467940349,-12.7754201071704
"14",-1.93164481697589,-12.7248621585091
"15",-1.93632097998514,-12.6957909609324
"16",-1.93778873776555,-12.6867133081184
"17",-1.94917821825697,-12.6170874946907
"18",-1.95347926737114,-12.591192582585
"19",-1.9616958748617,-12.5423814891848
"20",-1.96903033152496,-12.4995912238413
"21",-1.97186918774264,-12.4832391899575
"22",-1.97544586101366,-12.4628123083215
"23",-1.97917294404883,-12.4417414009384
"24",-1.98122223473721,-12.4302523563691
"25",-1.98193198610596,-12.426289569841
"26",-1.98247988652256,-12.4232362649231
"27",-1.9840564625588,-12.4144789507121
"28",-1.98552795509812,-12.4063440215239
"29",-1.98683846520712,-12.3991309845022
"30",-1.98900737809936,-12.3872605381593
"31",-1.99048890508791,-12.3792011763341
"32",-1.99181299841104,-12.3720325068818
"33",-1.99524588169589,-12.353600800648
"34",-1.99681066118272,-12.3452746638123
"35",-2.00105148953042,-12.3229547639805
"36",-2.00143538089718,-12.3209523985561
"37",-2.00219275673588,-12.3170109305961
"38",-2.00695397275848,-12.292511977733
"39",-2.00880644330917,-12.2831136679995
"40",-2.00922479125244,-12.2810018562599
"41",-2.00947279818064,-12.2797517891731
"42",-2.01137007077143,-12.2702350933902
"43",-2.01153705724278,-12.2694014562857
"44",-2.01563943657004,-12.2491275575682
"45",-2.02111162616519,-12.2227241275811
"46",-2.02340725368183,-12.2118756272164
"47",-2.02422471861955,-12.2080461418676
"48",-2.02489905789136,-12.2049006325363
"49",-2.02593707955008,-12.2000827743283
"50",-2.02827985578001,-12.1893180728677
"51",-2.02895006378842,-12.1862668163228
"52",-2.03127153163569,-12.1757971199219
"53",-2.0328275550402,-12.1688673624914
"54",-2.03323968905551,-12.1670439364008
"55",-2.03478585908414,-12.1602486343358
"56",-2.04016707072063,-12.1371761537984
"57",-2.04067905454796,-12.1350291946637
"58",-2.0419307581302,-12.1298166477429
"59",-2.04494909937042,-12.1174638856108
"60",-2.04511833251642,-12.1167805333844
"61",-2.04667666660022,-12.1105351883827
"62",-2.05067232995429,-12.0949200296525
"63",-2.05330010722473,-12.0849746456316
"64",-2.05642524525948,-12.0734968062825
"65",-2.05732148413292,-12.070277485895
"66",-2.06065322816902,-12.0586024569313
"67",-2.06122562977031,-12.0566441729959
"68",-2.06149801400537,-12.0557172914928
"69",-2.06173305475245,-12.0549200849213
"70",-2.06457574097108,-12.045472272926
"71",-2.06486134071271,-12.044543205386
"72",-2.06532585215247,-12.0430401254048
"73",-2.06608211786598,-12.0406143215528
"74",-2.06663381054828,-12.0388615388826
"75",-2.06827433665999,-12.0337345723583
"76",-2.0689583790919,-12.0316350089095
"77",-2.06938203023475,-12.0303461112386
"78",-2.07149038743768,-12.0240640051151
"79",-2.07191802020504,-12.0228171093981
"80",-2.07302464854653,-12.019633940171
"81",-2.07478983779902,-12.0146887793469
"82",-2.07587445117984,-12.011732666072
"83",-2.0767360623291,-12.0094299692913
"84",-2.07892412734302,-12.0037652321266
"85",-2.08097597720142,-11.9986875272041
"86",-2.08118061189102,-11.9981933507192
"87",-2.08160068673268,-11.9971857871196
"88",-2.08168840562568,-11.9969765558308
"89",-2.08230130822963,-11.9955258214871
"90",-2.08318662155505,-11.9934646659444
"91",-2.0840525064546,-11.9914877170833
"92",-2.08523571023281,-11.9888479822783
"93",-2.08526560186011,-11.9887822103937
"94",-2.0863156998601,-11.9865000890869
"95",-2.08667341529131,-11.9857352643473
"96",-2.08943847448046,-11.9800363013646
"97",-2.09308103848562,-11.9730934943657
"98",-2.09426558833563,-11.9709713595432
"99",-2.09707881691281,-11.9661936044491
"100",-2.09805088012753,-11.9646276599395
"101",-2.09834862339874,-11.9641566726092
"102",-2.09875843280456,-11.9635150375509
"103",-2.09971682625526,-11.9620443718065
"104",-2.10080834063049,-11.9604202422914
"105",-2.10100736533543,-11.9601299171396
"106",-2.10108489223318,-11.960017310256
"107",-2.10118491337601,-11.9598724320041
