"","V1","V2","V3"
"1",-1.92031595514476,-3.90133320693558,12.4319933956172
"2",-1.92214455022841,-3.8839421393204,12.4143521809593
"3",-1.93643789308068,-3.74739783008902,12.2751455967212
"4",-1.93929005211372,-3.72009251715034,12.2472259118884
"5",-1.96235431718387,-3.5002451249884,12.0229751306377
"6",-1.96464288085998,-3.47864262581476,12.0011008853145
"7",-1.96557614577066,-3.4698505829153,11.9922124430001
"8",-1.96573704329248,-3.46833588038359,11.9906820152041
"9",-1.97648204421417,-3.36803631975425,11.890057012477
"10",-1.97893523778267,-3.34542306996604,11.8676151143232
"11",-1.979220812367,-3.34279897069433,11.865018147579
"12",-1.97938390964671,-3.34130110354681,11.8635364773706
"13",-1.97958494265419,-3.33945565427631,11.8617117002832
"14",-1.98170957001516,-3.32000892971587,11.8425330074173
"15",-1.98293995528841,-3.30879726927176,11.8315201749288
"16",-1.98332554610898,-3.30529160683736,11.8280837730493
"17",-1.98630715817156,-3.27832084186994,11.8017684388914
"18",-1.98742795482707,-3.2682494276486,11.7920020946992
"19",-1.98956049532632,-3.24919724514294,11.7736276217998
"20",-1.99145381568917,-3.2324136943682,11.757561437279
"21",-1.99218385826817,-3.22597765832734,11.7514333120397
"22",-1.99310131436102,-3.217919007007,11.7437877557449
"23",-1.99405449000617,-3.20958302748818,11.7359131233438
"24",-1.99457729364008,-3.20502724258391,11.731624862483
"25",-1.99475814319753,-3.20345407013123,11.7301466875646
"26",-1.99489767426755,-3.20224130747455,11.7290080931549
"27",-1.9952987911448,-3.19875977407914,11.7257440703607
"28",-1.995672654133,-3.19552138077147,11.7227142378866
"29",-1.99600518809197,-3.19264641980756,11.7200295984577
"30",-1.99655463388865,-3.18790758992863,11.7156153907283
"31",-1.9969292868401,-3.18468467520337,11.7126212423795
"32",-1.99726366641336,-3.18181406702535,11.7099600003398
"33",-1.99812851393509,-3.17441580373316,11.7031266009398
"34",-1.99852171195909,-3.1710651516917,11.7000442231891
"35",-1.99958403114447,-3.16205469070237,11.6917959504903
"36",-1.99967995034001,-3.16124423015864,11.6910570736947
"37",-1.99986906680435,-3.15964785680999,11.6896032117581
"38",-2.00105415778998,-3.1496923649539,11.6805834973084
"39",-2.00151343260035,-3.14585728455114,11.6771316039812
"40",-2.00161700719645,-3.14499425098301,11.6763566256212
"41",-2.00167838336597,-3.14448315941972,11.6758980020565
"42",-2.00214728423465,-3.14058659477794,11.6724094526926
"43",-2.00218850007567,-3.14024478110358,11.67210411643
"44",-2.00319824530413,-3.13190660240903,11.6646915266765
"45",-2.00453641356787,-3.12096808134517,11.655079020458
"46",-2.00509466830349,-3.11644476805879,11.6511445050095
"47",-2.00529300034427,-3.11484369388882,11.649757896091
"48",-2.00545642259831,-3.1135268200437,11.6486198619323
"49",-2.00570765115912,-3.1115066526929,11.6468784187656
"50",-2.00627316929564,-3.10697854104309,11.6429949216215
"51",-2.00643456181828,-3.10569128295848,11.6418960980017
"52",-2.00699223039551,-3.10126100283041,11.6381326636994
"53",-2.00736481507264,-3.09831673853575,11.6356478853989
"54",-2.00746333398702,-3.09754036375403,11.6349949236267
"55",-2.00783231350015,-3.09464078093551,11.6325648214739
"56",-2.00910853734321,-3.08471527193928,11.6243555281238
"57",-2.00922929617118,-3.08378479696632,11.6235952053766
"58",-2.00952402694869,-3.08152041866396,11.6217519935703
"59",-2.01023174500173,-3.07612245127391,11.6174004666913
"60",-2.01027129780758,-3.07582245586435,11.6171604592119
"61",-2.01063485723145,-3.07307358480573,11.614970672401
"62",-2.01156153700978,-3.06613988472076,11.6095271633142
"63",-2.01216648865265,-3.06167311149316,11.6060865155621
"64",-2.01288109013386,-3.05646159245434,11.6021450936812
"65",-2.01308502292801,-3.05498782942946,11.6010458581311
"66",-2.0138390745638,-3.0495933935019,11.5970853237647
"67",-2.01396796256368,-3.04868029141999,11.5964253221705
"68",-2.01402922612538,-3.04824721744315,11.5961133984647
"69",-2.01408205440068,-3.04787426587159,11.5958453572145
"70",-2.01471828673538,-3.04341945346561,11.5926869352334
"71",-2.01478192787126,-3.0429776828875,11.5923782718341
"72",-2.01488532528609,-3.04226146998071,11.5918796857758
"73",-2.01505336848632,-3.04110155611622,11.5910771196445
"74",-2.01517572109647,-3.04026024907229,11.5904988871539
"75",-2.015538366466,-3.03778303212657,11.5888160492782
"76",-2.01568904508951,-3.03676111734928,11.5881307890342
"77",-2.01578220632832,-3.03613150226654,11.5877112996912
"78",-2.01624399321861,-3.03303621970414,11.5856805193654
"79",-2.01633727603164,-3.03241626831033,11.5852803531119
"80",-2.01657806630309,-3.03082449696129,11.5842635251001
"81",-2.01696030703118,-3.02832355794764,11.5826984690313
"82",-2.01719402359932,-3.02681060022974,11.5817722612745
"83",-2.01737905017725,-3.02562185316968,11.5810561015207
"84",-2.01784621939794,-3.02265534308006,11.5793161847266
"85",-2.01828020305235,-3.01993896959057,11.5777859517819
"86",-2.01832323838054,-3.01967139732541,11.5776386527441
"87",-2.01841143094207,-3.01912397293292,11.5773392756105
"88",-2.0184298210458,-3.01900997294003,11.5772772685942
"89",-2.01855805663791,-3.018216413331,11.5768489028562
"90",-2.01874245702315,-3.01707918620982,11.5762451772298
"91",-2.0189218032964,-3.01597700364878,11.5756717918701
"92",-2.01916514453264,-3.01448654687755,11.5749154351233
"93",-2.01917126496183,-3.01444912171543,11.5748967315015
"94",-2.01938538082029,-3.01314134173537,11.5742522651067
"95",-2.01945790807747,-3.01269889186935,11.5740383064673
"96",-2.02001077245846,-3.00932845894656,11.5724794730136
"97",-2.0207146915154,-3.00501054961433,11.5706806929496
"98",-2.02093656379578,-3.00363282556879,11.5701577778049
"99",-2.02144716709958,-3.00040526371159,11.5690377768062
"100",-2.02161764215433,-2.99930279898077,11.5686907450863
"101",-2.02166918976473,-2.99896626462145,11.5685885699256
"102",-2.02173960645766,-2.99850389242853,11.5684511044518
"103",-2.02190178344477,-2.99742606904314,11.5681439797848
"104",-2.0220819698543,-2.99620383403214,11.5678187974351
"105",-2.0221142786212,-2.99598150901245,11.5677623411492
"106",-2.02212681692842,-2.99589494664002,11.5677405870363
"107",-2.02214295387177,-2.99578330128086,11.5677127179418
"108",-2.022180178325,-2.99552470777881,11.5676489866832
"109",-2.022338544132,-2.99440665787754,11.5673867682307
"110",-2.02237381682786,-2.99415328832167,11.5673303929279
"111",-2.02247409392404,-2.9934231659031,11.5671743403897
"112",-2.02250229533686,-2.99321501442906,11.5671316079049
"113",-2.02252141450145,-2.99307314617193,11.5671029332757
"114",-2.02252420205792,-2.9930524099647,11.5670987726964
"115",-2.0225898509308,-2.99256007271563,11.5670022960202
"116",-2.0226683335141,-2.99196070167128,11.5668908699546
"117",-2.02272065643376,-2.99155390794447,11.5668190529017
"118",-2.02283515948826,-2.99064076193177,11.5666692008339
"119",-2.02314444429205,-2.98796244338204,11.5663225845133
"120",-2.02327037610208,-2.98674123978475,11.5662117557231
"121",-2.02329014131073,-2.98653973172485,11.5661963650831
"122",-2.02340287060792,-2.98532381454968,11.5661210838296
"123",-2.02355310115516,-2.98344469415224,11.5660646388917
"124",-2.02356923946291,-2.98321586301743,11.5660627659551
"125",-2.02362773669768,-2.98231758959345,11.5660659395064
"126",-2.02364453223304,-2.98203423331626,11.5660704217343
"127",-2.02370108325277,-2.98095001129464,11.5661029643731
"128",-2.02373394811853,-2.98016730498895,11.5661415719773
"129",-2.02374090970148,-2.97997634394227,11.566152904857
"130",-2.0237555768341,-2.97952805256041,11.5661824447561
"131",-2.02378777862778,-2.97794139039574,11.5663197403318
"132",-2.0237882146064,-2.97789757189445,11.5663242483915
"133",-2.02378813513932,-2.97644804151226,11.5664946200545
"134",-2.02378737282816,-2.97637559288344,11.5665042032153
"135",-2.02378712348635,-2.97635331051397,11.5665071707717
"136",-2.02374849197589,-2.9746982554832,11.5667535880753
"137",-2.02373665559555,-2.97438685747415,11.566805548718
"138",-2.02372677497424,-2.97415275509933,11.5668457444648
"139",-2.02364687440528,-2.97271127376388,11.5671140097712
"140",-2.02332864296434,-2.96937283630982,11.5678595715489
"141",-2.02316273859727,-2.96814849655245,11.568170280661
"142",-2.02315862935991,-2.96812052057955,11.5681775809299
"143",-2.02309343050915,-2.9676890135096,11.5682912432953
"144",-2.02293564739933,-2.96672660887037,11.5685514975914
"145",-2.02276976369682,-2.96581206827651,11.568806527476
"146",-2.02271070674597,-2.96550573571376,11.5688934412081
"147",-2.022629370237,-2.96509797762173,11.5690101782272
"148",-2.02235741107129,-2.96383387055345,11.5693786688401
"149",-2.02218554004234,-2.96309891198615,11.5695966389407
"150",-2.02217098425065,-2.96303858343659,11.5696146287736
"151",-2.0220387974718,-2.96250302771842,11.5697748796509
"152",-2.02202251534983,-2.9624385177985,11.5697942430779
"153",-2.02189389822764,-2.96193926232444,11.569944467294
"154",-2.02167992797642,-2.96114540708436,11.5701843451186
"155",-2.02158707642803,-2.96081359842949,11.5702848332354
"156",-2.02155435099422,-2.9606983282153,11.5703197592694
"157",-2.02146842099946,-2.96039960078589,11.5704102901546
"158",-2.02139237522695,-2.96013978933038,11.5704890272491
"159",-2.02105958874334,-2.95904788802383,11.5708193937447
"160",-2.02089515502795,-2.95853236320765,11.5709747346436
"161",-2.02089426380814,-2.95852960814444,11.570975563233
