"","V1","V2"
"1",-1.98490579843449,-4.2566677415309
"2",-1.65562421018566,-4.33545197677283
"3",-1.60915178952742,-4.34658479186275
"4",-1.36478086109045,-4.39893094636284
"5",-1.34222446538095,-4.40299307935963
"6",-1.29595296946089,-4.41079941283004
"7",-1.2523744953326,-4.41745617115787
"8",-1.10968765033785,-4.43391576004277
"9",-1.09889131972076,-4.43479865181787
"10",-0.94482992003348,-4.44122585286855
"11",-0.888634428073092,-4.44052711675678
"12",-0.872077590756603,-4.43999524367954
"13",-0.86776744508573,-4.43983209608856
"14",-0.859156600855966,-4.43947546301877
"15",-0.851838439278342,-4.43914009949167
"16",-0.770625254863959,-4.43339816785153
"17",-0.744064146334768,-4.4307030307905
"18",-0.709498416627423,-4.42658206697524
"19",-0.698770099663319,-4.42516085124959
"20",-0.666361189462033,-4.42045552295131
"21",-0.663649528693415,-4.42003365031974
"22",-0.648165782919826,-4.4175410406293
"23",-0.644972890554093,-4.41700929855677
"24",-0.626545344382833,-4.4138215327101
"25",-0.610047569194179,-4.41079526934945
"26",-0.604594455522214,-4.40975908844606
"27",-0.575400710539193,-4.40390763348994
"28",-0.573344239174957,-4.40347608119266
"29",-0.572187773161871,-4.40323227447239
"30",-0.526101422132465,-4.39285784988672
"31",-0.519387203461452,-4.39123897594372
"32",-0.500625547072795,-4.38657010900615
"33",-0.486116326934415,-4.38281263417152
"34",-0.484896476042393,-4.38249088626403
"35",-0.480315958110178,-4.38127463647991
"36",-0.470201829437535,-4.37854378285631
"37",-0.462608559721932,-4.37645258696056
"38",-0.459240774390226,-4.37551383860232
"39",-0.451081339028157,-4.37321076035341
"40",-0.450990008618829,-4.37318475159403
"41",-0.446105320389507,-4.3717862905127
"42",-0.434245997426599,-4.3683304262089
"43",-0.412426663011391,-4.3617478188827
"44",-0.405905324936619,-4.35972397569917
"45",-0.402129224052075,-4.35854021778099
"46",-0.398843596276658,-4.35750312988001
"47",-0.394737789799373,-4.35619788816241
"48",-0.39193239344464,-4.35530012649921
"49",-0.370039168666847,-4.3481288641864
"50",-0.36082520130687,-4.34502323739212
"51",-0.357877874908808,-4.3440188774866
"52",-0.353552413840689,-4.34253528637106
"53",-0.324499925582591,-4.33227460577882
"54",-0.318139688966635,-4.32995960466038
"55",-0.305522816042075,-4.32529432051585
"56",-0.293732486662909,-4.32084698462443
"57",-0.291939344500434,-4.32016319023024
"58",-0.276610299056521,-4.31423775095643
"59",-0.256136874479242,-4.30610085838373
"60",-0.249818210245576,-4.30353816435519
"61",-0.247167147388078,-4.30245574125913
"62",-0.246569843218494,-4.30221127453773
"63",-0.243371270248234,-4.30089846802209
"64",-0.23546167266827,-4.29762544552836
"65",-0.227849920404915,-4.29443986243417
"66",-0.216782290962909,-4.28974535537586
"67",-0.212554619018042,-4.28793255410098
"68",-0.207535773073269,-4.28576646805548
"69",-0.207154463390471,-4.28560127593861
"70",-0.20689695597891,-4.28548966809059
"71",-0.203440486827368,-4.28398769937282
"72",-0.202881150691111,-4.28374396761695
"73",-0.201304940749911,-4.28305611434038
"74",-0.201051287814993,-4.28294528075646
"75",-0.180403513428862,-4.27379298620387
"76",-0.178022552543038,-4.27272107175746
"77",-0.175287426101456,-4.27148549575203
"78",-0.171077166542756,-4.2695747320975
"79",-0.167636869232556,-4.26800548189954
"80",-0.167535158635146,-4.26795897943058
"81",-0.160187921842352,-4.26458333417684
"82",-0.154471001581615,-4.26193427744651
"83",-0.152873038525015,-4.26119031575239
"84",-0.145130084869186,-4.25756372501585
"85",-0.134515491570303,-4.25253332651079
"86",-0.132897918631975,-4.25176067060186
"87",-0.124384058962128,-4.2476669476099
"88",-0.122165493262168,-4.24659266691832
"89",-0.115551859461469,-4.24337143800127
"90",-0.107684402640283,-4.23950240099794
"91",-0.103069445873189,-4.23721378669504
"92",-0.0947870702118907,-4.23307043818586
"93",-0.0866273926514787,-4.22894243775955
"94",-0.0813167805759182,-4.22623080253055
"95",-0.078665683997362,-4.22486966677448
"96",-0.0734091983844681,-4.2221560025634
"97",-0.0684828630844383,-4.21959466416989
"98",-0.0646624243657126,-4.21759611400802
"99",-0.0638797270662776,-4.21718534415863
"100",-0.0619863516634984,-4.21618980353076
"101",-0.0607851496105745,-4.21555683143965
"102",-0.0587213616348797,-4.21446681370619
"103",-0.053076180216527,-4.21146893487835
"104",-0.0436669755671662,-4.20641843730556
"105",-0.0434128862897839,-4.20628111014128
"106",-0.040802196562636,-4.2048672209263
"107",-0.0310693474114492,-4.19954921695943
"108",-0.0275498166562492,-4.1976077327112
"109",-0.0229685755753877,-4.19506573359576
"110",-0.0179129486727985,-4.19224084813315
"111",-0.0159722578115905,-4.19115094272147
"112",-0.0109112864397769,-4.18829413130756
"113",-0.00351803908752433,-4.18408266147086
"114",-0.00230901909531235,-4.18338961113631
"115",0.00221734452003688,-4.18078400278871
"116",0.00328941468676207,-4.18016432168873
"117",0.00557524468803879,-4.17883979158857
"118",0.0078446687532785,-4.17752035018813
"119",0.00902571673317137,-4.17683194178776
"120",0.0102747715773953,-4.17610258762587
"121",0.0152115201386573,-4.17320669553879
"122",0.0249705407594441,-4.16741942252137
"123",0.0251800671301382,-4.16729424865692
"124",0.0397320029045403,-4.15850453111448
"125",0.0414309359172098,-4.15746584325667
"126",0.0422134094126596,-4.15698656950035
"127",0.0422260305543375,-4.15697883431467
"128",0.046573417328719,-4.15430572093891
"129",0.0529022064630665,-4.15038304328174
"130",0.0538922607588475,-4.14976601846131
"131",0.0560999299341379,-4.14838684120754
"132",0.056163137712304,-4.14834728661926
"133",0.0612718021970641,-4.14513789728349
"134",0.0618157164720895,-4.14479474259327
"135",0.063683443395666,-4.14361425631323
"136",0.0650925352583121,-4.14272144881836
"137",0.0664592746850378,-4.14185366428855
"138",0.0676743226440925,-4.14108069166959
"139",0.0711221386743731,-4.13887958394993
"140",0.0749630861585679,-4.13641398178003
"141",0.0770202042017135,-4.13508757490161
"142",0.0821989589696313,-4.13173006058696
"143",0.0824824536680807,-4.13154550399304
"144",0.0828881227516211,-4.13128127352824
"145",0.0853985618154361,-4.12964250007799
"146",0.0952258253470699,-4.12316715985784
"147",0.0983915235264214,-4.12106060369697
"148",0.101045341000491,-4.11928685460221
"149",0.101231215898343,-4.11916235220295
"150",0.10326792583098,-4.11779582195068
"151",0.113734331837818,-4.11070627964311
"152",0.118689770513726,-4.10731007746987
"153",0.121089447132627,-4.10565623058302
"154",0.122573261403733,-4.10463056307163
"155",0.12260332968323,-4.10460975478052
"156",0.122794168196288,-4.10447766568816
"157",0.125338957080583,-4.10271261067858
"158",0.131906834508784,-4.09812538675725
"159",0.13870723404729,-4.09332707739513
"160",0.151875967051651,-4.0838924321672
"161",0.153090977627787,-4.08301234031237
"162",0.157384731994891,-4.07988902980486
"163",0.158247669680936,-4.07925884291943
"164",0.159544065988709,-4.07831054441361
"165",0.163273798473744,-4.07557177548946
"166",0.163796910155895,-4.07518639942057
"167",0.164570388619552,-4.07461601262033
"168",0.167441545402503,-4.07249282927904
"169",0.170083645019963,-4.07053082763385
"170",0.172832721601745,-4.06848106170782
"171",0.174956351723624,-4.06689184328734
"172",0.175296714206794,-4.06663666395808
"173",0.176394775082297,-4.06581253437483
"174",0.177603191965275,-4.06490402323566
"175",0.181124170438679,-4.06224760564633
"176",0.189078726782112,-4.05619560510352
"177",0.192307064029708,-4.05371947890903
"178",0.193201933562386,-4.05303108678169
"179",0.194582368578249,-4.05196744139588
"180",0.197182026105638,-4.04995869520227
"181",0.198115305281873,-4.04923574909877
"182",0.202585796187688,-4.04575958566988
"183",0.208657263815424,-4.04100372840692
"184",0.21045268037971,-4.03958970617964
"185",0.213011738249324,-4.03756824593505
"186",0.21403169599467,-4.03676059044937
"187",0.214266629103906,-4.03657439957981
"188",0.216258524857915,-4.03499338388264
"189",0.218793604572209,-4.03297507105273
"190",0.219231391497312,-4.0326258281074
"191",0.22444264826041,-4.02845283699935
"192",0.227387559003245,-4.02608185877015
"193",0.228617554709346,-4.02508884905807
"194",0.231854519663338,-4.02246789658323
"195",0.231960781442832,-4.02238166908271
"196",0.239337487143579,-4.01636664993258
"197",0.244348794776848,-4.01224780859279
"198",0.24564796942943,-4.01117572123595
"199",0.246446259708328,-4.0105160942137
"200",0.25157434243649,-4.0062629597436
"201",0.256023222484108,-4.00255106838955
"202",0.256671897337633,-4.00200814391618
"203",0.261844126476953,-3.9976636287756
"204",0.264684793141593,-3.995265878892
"205",0.266774024737013,-3.99349713509821
"206",0.267970925327697,-3.99248183245629
"207",0.271270060896495,-3.98967570368228
"208",0.275486010278905,-3.98607368772993
"209",0.28375553826482,-3.97895627334345
"210",0.287970918989086,-3.97530177328759
"211",0.288099242281136,-3.97519024568523
"212",0.290943543669176,-3.97271400944316
"213",0.291342052231053,-3.97236642642512
"214",0.295831699552018,-3.96843961871626
"215",0.301532132874771,-3.96342508606433
"216",0.302500467556782,-3.96257008442274
"217",0.303285372601708,-3.96187636784123
"218",0.307966836287981,-3.95772624088614
"219",0.329342366027097,-3.93850632986758
"220",0.330321561310825,-3.93761535438533
"221",0.330407953686644,-3.93753670154182
"222",0.334054676550334,-3.93421018969843
"223",0.334058476824807,-3.93420671651973
"224",0.336658110749314,-3.93182762554193
"225",0.338444117690627,-3.93018942539258
"226",0.341225316847187,-3.92763239061019
"227",0.341869963132858,-3.92703866105963
"228",0.342162168643804,-3.92676940615487
"229",0.345332944158241,-3.92384250731897
"230",0.346821445964862,-3.9224652358303
"231",0.347871016734234,-3.92149284756012
"232",0.348472530230559,-3.92093510289912
"233",0.360529557877077,-3.90968432843379
"234",0.360988239546612,-3.90925365839955
"235",0.362705837615008,-3.90763923060845
"236",0.366332556285456,-3.90422144027968
"237",0.366836316480119,-3.90374574560885
"238",0.369935438188842,-3.90081417062285
"239",0.370457997165518,-3.90031899747066
"240",0.374264336048184,-3.89670462675854
"241",0.37783119838509,-3.8933057014381
"242",0.380420573470703,-3.89083102220975
"243",0.38321841281235,-3.88815030999183
"244",0.385658920494521,-3.88580621733724
"245",0.387429861144778,-3.88410189226971
"246",0.387843537615148,-3.88370337171426
"247",0.391759466024698,-3.87992333266541
"248",0.394168579618724,-3.8775910250642
"249",0.403908017913213,-3.86810965539262
"250",0.408393979311669,-3.86371445540622
"251",0.417093684033161,-3.85514036187967
"252",0.42052927259351,-3.8517358643835
"253",0.422379600220219,-3.84989789362533
"254",0.422441771287206,-3.84983608419558
"255",0.424920165024064,-3.84736926171488
"256",0.425020730635037,-3.84726904821429
"257",0.426300605503629,-3.84599285245293
"258",0.429104613122002,-3.8431916904906
"259",0.432430187896804,-3.83986015786574
"260",0.433499227507332,-3.83878704084482
"261",0.434355785885344,-3.83792645348136
"262",0.436461659341621,-3.83580778412567
"263",0.438408746988005,-3.83384519603307
"264",0.438701182985275,-3.83355012652254
"265",0.44260825703079,-3.82960018044022
"266",0.443680322700495,-3.82851384072191
"267",0.445887876147637,-3.8262734723444
"268",0.448688102088173,-3.82342496379605
"269",0.448726789267765,-3.82338555722438
"270",0.448930604928079,-3.82317792798894
"271",0.452059005258999,-3.81998600253909
"272",0.454963374486548,-3.81701423300355
"273",0.458296650577139,-3.81359353962074
"274",0.459000770883564,-3.81286957055489
"275",0.460552154875892,-3.81127274516122
"276",0.460720734323043,-3.81109908603853
"277",0.460785572690351,-3.81103228653363
"278",0.464235062732378,-3.80747250827277
"279",0.47020068735503,-3.80128838180966
"280",0.470498977520278,-3.80097823618746
"281",0.473002046437751,-3.79837217169912
"282",0.476720465812423,-3.79448910847157
"283",0.477892376920452,-3.79326240917788
"284",0.479966222101006,-3.79108818851193
"285",0.483429382899944,-3.78744761746436
"286",0.483611163614051,-3.78725618485344
"287",0.484998907226598,-3.78579363658942
"288",0.485650799404093,-3.78510591987905
"289",0.485660352711102,-3.78509583831259
"290",0.485952988608733,-3.78478697516869
"291",0.486853543606091,-3.78383592733276
"292",0.486892451887041,-3.78379481861503
"293",0.494466388073987,-3.77576254464344
"294",0.494505087558264,-3.77572134916614
"295",0.495345180967985,-3.77482668401007
"296",0.496035575841374,-3.77409088516891
"297",0.499364548479044,-3.77053591102057
"298",0.503008384961876,-3.76663119890811
"299",0.503102502978958,-3.76653015481859
"300",0.503504951899002,-3.76609798299804
"301",0.506137159321721,-3.76326708778823
"302",0.506396482612606,-3.76298778666891
"303",0.506642838442602,-3.76272238486289
"304",0.512315950561729,-3.7565925039947
"305",0.512939530828441,-3.7559165816118
"306",0.513504763239727,-3.75530353763348
"307",0.513640128836719,-3.75515666995419
"308",0.51647911332758,-3.75207182746365
"309",0.517551882464368,-3.75090384940674
"310",0.517791955534785,-3.750642295985
"311",0.518803212117921,-3.74953985942406
"312",0.51897171747496,-3.74935605092301
"313",0.520008654079349,-3.7482242511128
"314",0.523003435779636,-3.74494879297356
"315",0.526462783059025,-3.74115277318858
"316",0.533437952871424,-3.73345778170679
"317",0.534656034072237,-3.73210833304822
"318",0.53714756188939,-3.72934281514678
"319",0.538261485510938,-3.72810409109116
"320",0.538627965324613,-3.72769624000754
"321",0.540182154158079,-3.72596488103686
"322",0.541094712379966,-3.72494699560752
"323",0.543506497067446,-3.7222521980777
"324",0.544494206871267,-3.7211466334906
"325",0.546886640440757,-3.71846401389405
"326",0.547300930349049,-3.71799879328513
"327",0.553301893847343,-3.71123744833379
"328",0.553618971404463,-3.71087900967438
"329",0.553918192552633,-3.71054064719459
"330",0.553973573593606,-3.71047801005349
"331",0.554048634420165,-3.71039310883584
"332",0.554694876181874,-3.70966186834614
"333",0.557942747283141,-3.70597927183186
"334",0.559378849088084,-3.70434692386866
"335",0.559404723604096,-3.70431749084189
"336",0.56316899990255,-3.70002692917119
"337",0.56346647936161,-3.6996871305425
"338",0.564781847886104,-3.69818335697275
"339",0.567966700786599,-3.69453364802995
"340",0.56848986275365,-3.69393294909295
"341",0.569701253566187,-3.6925407423603
"342",0.570500638594955,-3.6916210601817
"343",0.572530005854475,-3.68928279859435
"344",0.572555855491743,-3.68925298189054
"345",0.575373128362959,-3.68599844941562
"346",0.57559279533187,-3.68574427990724
"347",0.577263898425036,-3.68380876079279
"348",0.585628117511911,-3.67406930793777
"349",0.586234829276362,-3.6733594678305
"350",0.587590111331596,-3.67177216011205
"351",0.588132170195876,-3.6711366589733
"352",0.58868921162278,-3.67048321035093
"353",0.590287188653554,-3.66860651906802
"354",0.590480728549438,-3.66837900559593
"355",0.590790383834093,-3.66801489650279
"356",0.591822286338788,-3.66680066321583
"357",0.592970571638947,-3.66544791213256
"358",0.593125152326975,-3.66526568001184
"359",0.595081938949523,-3.66295626360822
"360",0.595132984109767,-3.66289595512407
"361",0.599128423938526,-3.65816523911697
"362",0.599146941040652,-3.6581432672979
"363",0.599726744444958,-3.65745507054222
"364",0.600049158502222,-3.65707219710363
"365",0.600310311060044,-3.65676197622364
"366",0.602175412357008,-3.65454391774262
"367",0.604121569564542,-3.65222474013056
"368",0.604417020011795,-3.65187223798209
"369",0.605808033465141,-3.6502111190604
"370",0.607919820411991,-3.64768452974069
"371",0.60805839698778,-3.64751853351481
"372",0.609284229197006,-3.64604907523352
"373",0.609821263413452,-3.64540469991021
"374",0.612347435010339,-3.64236861396124
"375",0.612681968181686,-3.64196593630609
"376",0.613788386396692,-3.64063310869696
"377",0.614405845084688,-3.63988860818385
"378",0.614662898472695,-3.6395785204111
"379",0.616193587365125,-3.63773024825728
"380",0.616434875807481,-3.63743862004325
"381",0.61668224030979,-3.63713956948397
"382",0.61994967453008,-3.63318192860477
"383",0.620153005674764,-3.63293518526057
"384",0.62030310682146,-3.63275300206802
"385",0.622080725187975,-3.63059319763014
"386",0.624649627272761,-3.62746465297948
"387",0.624840717631667,-3.62723158593588
"388",0.624893841610245,-3.62716678369919
"389",0.625009421921817,-3.62702578248303
"390",0.625728069546622,-3.62614867902831
"391",0.62626863627473,-3.62548847255688
"392",0.627692634598568,-3.62374746187715
"393",0.630211635931984,-3.62066109667697
"394",0.630400514389854,-3.62042933683272
"395",0.633043223449594,-3.61718166633917
"396",0.633081697581333,-3.61713431602279
"397",0.633171265495253,-3.61702407665998
"398",0.637965778362494,-3.61110735253908
"399",0.640912890145184,-3.60745509070157
"400",0.642743091468873,-3.60518106916881
"401",0.644240719634432,-3.60331688793553
"402",0.645059752702496,-3.60229610159775
"403",0.646377610707432,-3.60065169542238
"404",0.646514026769148,-3.60048134187716
"405",0.646598458219286,-3.60037589290303
"406",0.648424092802532,-3.59809341920575
"407",0.648986729730267,-3.59738907050428
"408",0.651820748879707,-3.59383463559309
"409",0.651965085809341,-3.59365331205184
"410",0.653965362286811,-3.59113750125695
"411",0.654149764608082,-3.59090529432688
"412",0.654353925157037,-3.59064815215019
"413",0.655311763985227,-3.5894409743525
"414",0.655520587550764,-3.58917762226066
"415",0.657328978374591,-3.5868944880406
"416",0.659945156931124,-3.58358344779285
"417",0.660294225292589,-3.58314094390459
"418",0.661071016389526,-3.58215561654954
"419",0.662049617353926,-3.58091309846915
"420",0.662228132697343,-3.58068629476379
"421",0.66450619340354,-3.57778808448778
"422",0.664599160840025,-3.57766965354978
"423",0.665207075760254,-3.57689493182577
"424",0.667401490227252,-3.57409403896512
"425",0.667936829489012,-3.57340971002838
"426",0.668436791526307,-3.57277023632014
"427",0.669833815490622,-3.57098149413443
"428",0.670877431509662,-3.5696434368512
"429",0.675168302281822,-3.56412555300773
"430",0.679274762435504,-3.55881992973456
"431",0.679617621284577,-3.55837584186767
"432",0.683785829508888,-3.55296322948098
